title,"count TW","count total",key,publisher,url
"(Fig. 5) Occurrences of selected planktonic foraminifers in samples from ODP Hole 184-1148A in the South China Sea",1748,1748,91acc88e-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/91acc88e-f762-11e1-a439-00145eb45e9a
"MfN Fish Collection, Zoology",1,1701,86417f58-f762-11e1-a439-00145eb45e9a,"Museum für Naturkunde Berlin",https://www.gbif.org/dataset/86417f58-f762-11e1-a439-00145eb45e9a
"Plant Specimens of Wakayama Prefectural Museum of Natural History",11,1612,869cd77c-f762-11e1-a439-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/869cd77c-f762-11e1-a439-00145eb45e9a
"Lepidoptera - SNSD",2,1575,7d8a6ba4-1387-11e2-bb2e-00145eb45e9a,Senckenberg,https://www.gbif.org/dataset/7d8a6ba4-1387-11e2-bb2e-00145eb45e9a
"KUBI Invertebrate Zoology Collection",23,1574,95c6d414-f762-11e1-a439-00145eb45e9a,"University of Kansas Biodiversity Institute",https://www.gbif.org/dataset/95c6d414-f762-11e1-a439-00145eb45e9a
"National Taiwan Museum",1135,1470,ca22abc0-98a1-11de-b4da-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/ca22abc0-98a1-11de-b4da-b8a03c50a862
"Korean Insect Database",2,1426,8306a85e-f762-11e1-a439-00145eb45e9a,"Korea Institute of Science and Technology Information",https://www.gbif.org/dataset/8306a85e-f762-11e1-a439-00145eb45e9a
"Echinoderm specimens of Ryukyu University Museum (Fujukan)",5,1373,73c0bec5-417f-4d9c-8084-e80b027a1d61,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/73c0bec5-417f-4d9c-8084-e80b027a1d61
"Chromista Collection of the Seto Marine Biological Laboratory, Kyoto University",1,1369,53849852-18f5-11e2-98fb-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/53849852-18f5-11e2-98fb-00145eb45e9a
"Global Butterfly Information System (GloBIS)",2,1294,65339e28-add7-11e2-8fbc-00145eb45e9a,"Museum für Naturkunde Berlin",https://www.gbif.org/dataset/65339e28-add7-11e2-8fbc-00145eb45e9a
"Actinomycetes Collection in BCRC",113,1294,fc8160f5-6d79-4fba-b587-fc8885d59471,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/fc8160f5-6d79-4fba-b587-fc8885d59471
"Collection of Heteroptera",9,1284,128548c0-9169-11db-9f6c-b8a03c50a862,"Wrocław University, Museum of Natural History",https://www.gbif.org/dataset/128548c0-9169-11db-9f6c-b8a03c50a862
"Bryophytes specimens of Okinawa Prefectural Museum & Art Museum",5,1271,7adf9745-c840-484d-b4b6-fdf097d96f77,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/7adf9745-c840-484d-b4b6-fdf097d96f77
